datetime,YEAR,MO,DY,HR,latitude,longitude,tilt,azimuth,system_capacity_kw,ghi,dni,dhi,temp_air,wind_speed,humidity,sun_elevation,sun_azimuth,sun_zenith,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,cell_temperature,dc_power_kw,ac_power_kw,energy_kwh,performance_ratio
2025-09-11 17:00:00+00:00,2025,9,11,17,40.79,-73.95,30,180,5.0,59.45,186.91,33.77,23.99,1.45,9.4,53.43636102202791,183.23525472500577,36.55119743191985,218.10426889248467,185.60083123145753,32.50343766102714,31.507838942900253,0.9955987181268899,30.870992561690276,0.15973673604834146,0.1533472666064078,0.1533472666064078,3.439243433841498
2025-09-12 05:00:00+00:00,2025,9,12,5,40.79,-73.95,30,180,5.0,4.62,10.67,6.43,15.02,2.6,9.99,-45.09679534439747,2.7929126732526584,135.09679534439746,6.076642002481457,0.0,6.076642002481457,5.99927167316697,0.07737032931448665,15.200257660339778,0.004736130079605118,0.004546684876420914,0.004546684876420914,1.3121745675096432
2025-09-12 06:00:00+00:00,2025,9,12,6,40.79,-73.95,30,180,5.0,77.3,185.7,46.09,16.56,3.08,9.85,-42.53384480689032,23.285228368271135,132.53384480689033,44.297084966145256,0.0,44.297084966145256,43.0025554302124,1.294529535932861,17.840828776549454,0.03417420497252605,0.03280723677362501,0.03280723677362501,0.5658859296873655
2025-09-12 07:00:00+00:00,2025,9,12,7,40.79,-73.95,30,180,5.0,204.6,302.36,105.62,19.32,3.44,9.09,-36.477311144212315,41.07659564015427,126.47731114421231,101.9712018720692,0.0,101.9712018720692,98.54480157385622,3.4264002982129798,22.21253990328218,0.07733112337275015,0.07423787843784015,0.07423787843784015,0.48379197417947306
2025-09-12 08:00:00+00:00,2025,9,12,8,40.79,-73.95,30,180,5.0,349.27,369.34,173.97,21.85,3.47,7.92,-27.989168003146776,55.68902263109271,117.98916800314677,168.16538315071554,0.0,168.16538315071554,162.3162197481894,5.849163402526136,26.612625391170837,0.1253104740626822,0.12029805510017491,0.12029805510017491,0.4592361405223272
2025-09-12 09:00:00+00:00,2025,9,12,9,40.79,-73.95,30,180,5.0,391.48,116.26,304.48,23.65,2.86,7.56,-17.997299558986256,67.82025698309451,107.99729955898626,290.63975433795144,0.0,290.63975433795144,284.083707472143,6.556046865808492,32.15277919241017,0.21174316979151642,0.20327344299985575,0.20327344299985575,0.6923246585601844
2025-09-12 10:00:00+00:00,2025,9,12,10,40.79,-73.95,30,180,5.0,496.1,268.23,297.43,25.01,2.14,7.7,-7.1489263274619415,78.40341344413935,97.14892632746194,285.8140675716203,0.0,285.8140675716203,277.5059679238028,8.308099647817494,33.69950157569,0.2069012308851342,0.19862518164972884,0.19862518164972884,0.5338310331243132
2025-09-12 11:00:00+00:00,2025,9,12,11,40.79,-73.95,30,180,5.0,634.9,461.97,262.95,25.94,1.62,8.09,4.110111293061521,88.2842971675135,85.70534892976087,279.03200884310365,23.063759988387083,255.96824885471656,245.3356899625591,10.632558892157483,34.66317068223704,0.20118500485055255,0.19313760465653043,0.19313760465653043,0.40560215184864895
2025-09-12 12:00:00+00:00,2025,9,12,12,40.79,-73.95,30,180,5.0,657.53,683.4,155.32,26.47,1.34,8.2,15.427019732834916,98.2420551497529,74.51382434929019,361.15844168905625,205.23136929995448,155.92707238910177,144.9155328578995,11.011539531202251,37.93181342242191,0.25685753051522564,0.2465832292946166,0.2465832292946166,0.5000192220271148
2025-09-12 13:00:00+00:00,2025,9,12,13,40.79,-73.95,30,180,5.0,684.42,722.96,146.59,26.64,1.15,8.19,26.44251085399994,109.1185694007998,63.52402166509751,533.3389548319248,385.1067612188125,148.23219361311226,136.77033197038045,11.461861642731806,43.74012747116792,0.3700196961272743,0.35521890828218333,0.35521890828218333,0.692009600892597
2025-09-12 14:00:00+00:00,2025,9,12,14,40.79,-73.95,30,180,5.0,581.25,710.67,135.07,26.73,1.01,8.16,36.67689492051287,121.98138663924647,53.30063829275648,654.4601577311232,518.7040403302543,135.75611740086896,126.02202564458207,9.734091756286874,47.87239540757854,0.44593790377994497,0.42810038762874714,0.42810038762874714,0.982022394560567
2025-09-12 15:00:00+00:00,2025,9,12,15,40.79,-73.95,30,180,5.0,417.83,657.08,107.99,26.62,0.83,8.12,45.36838723356751,138.2092716181827,44.615063906709594,684.8664126493109,577.1130452798766,107.75336736943427,100.75604167734078,6.997325692093496,48.960412775161764,0.4644207636582178,0.445843933111889,0.445843933111889,1.4227283284649708
2025-09-12 16:00:00+00:00,2025,9,12,16,40.79,-73.95,30,180,5.0,183.43,249.62,101.98,25.92,0.65,8.26,51.3062919134515,158.98883325739018,38.680273476180844,339.7949593222987,241.57445396035263,98.22050536194608,95.14863533896853,3.071870022977551,37.11233628234878,0.24249908704864798,0.23279912356670204,0.23279912356670204,1.6921922881876978
2025-09-12 17:00:00+00:00,2025,9,12,17,40.79,-73.95,30,180,5.0,36.6,27.37,30.37,24.0,1.01,9.72,53.0512347213878,183.35509686519762,36.93614828246755,56.10412272224648,27.15559318809358,28.9485295341529,28.335595756466706,0.612933777686193,25.812448829125472,0.04194134685524045,0.04026369298103083,0.04026369298103083,1.466801201494748
2025-09-13 05:00:00+00:00,2025,9,13,5,40.79,-73.95,30,180,5.0,4.55,9.35,6.25,15.55,1.78,11.54,-45.475372339812004,2.9393801946765734,135.475372339812,5.907527438423972,0.0,5.907527438423972,5.831329386826371,0.07619805159760049,15.733103375716537,0.004594878917048959,0.004411083760367,0.004411083760367,1.2926252777632234
2025-09-13 06:00:00+00:00,2025,9,13,6,40.79,-73.95,30,180,5.0,100.15,243.6,55.37,17.58,1.86,11.82,-42.871574614555946,23.557106096020902,132.87157461455595,53.33810778014574,0.0,53.33810778014574,51.66091330377218,1.677194476373558,19.226131866340747,0.04092748243757371,0.03929038314007076,0.03929038314007076,0.5230871444842171
2025-09-13 07:00:00+00:00,2025,9,13,7,40.79,-73.95,30,180,5.0,269.52,453.56,102.58,20.17,2.14,11.34,-36.76400639473748,41.41051813826425,126.76400639473748,100.22204710660613,0.0,100.22204710660613,95.70844296010387,4.51360414650226,23.217014598165303,0.07570261867075379,0.07267451392392363,0.07267451392392363,0.359525645215809
2025-09-13 08:00:00+00:00,2025,9,13,8,40.79,-73.95,30,180,5.0,438.83,578.55,137.72,22.16,1.98,10.52,-28.23102904053575,56.03950238383226,118.23102904053574,135.8435183117558,0.0,135.8435183117558,128.49450930459645,7.349009007159345,26.325548298925852,0.10134243729996208,0.09728873980796358,0.09728873980796358,0.29560039136784505
