YEAR,MO,DY,HR,QV2M,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,T2M
2025,9,10,14,10.45,167.2,3.46,140.78,2.94,22.79
2025,9,10,15,10.55,108.97,3.3,92.64,5.5,22.93
2025,9,10,16,10.56,54.83,2.97,47.26,6.37,22.74
2025,9,10,17,10.81,19.8,2.18,17.44,14.91,21.74
2025,9,10,18,10.66,0,2.05,0,0,19.62
2025,9,10,19,10.54,0,2.09,0,0,19.09
2025,9,10,20,10.5,0,2.18,0,0,18.71
2025,9,10,21,10.46,0,2.37,0,0,17.93
2025,9,10,22,10.37,0,2.39,0,0,16.9
2025,9,10,23,10.16,0,2.32,0,0,16.14
2025,9,11,0,9.8,0,2.43,0,0,15.6
2025,9,11,1,9.35,0,2.33,0,0,14.79
2025,9,11,2,8.95,0,2.3,0,0,13.92
2025,9,11,3,8.62,0,2.28,0,0,13.35
2025,9,11,4,8.44,0,2.24,0,0,12.82
2025,9,11,5,8.38,5.97,2.24,7.58,25.77,12.41
2025,9,11,6,8.4,103.8,2.46,56.4,258.37,14.17
2025,9,11,7,8.55,297.35,1.9,85.71,573.47,17.05
2025,9,11,8,8.25,484.27,2.58,98.83,721,21.45
2025,9,11,9,8.01,640.67,2.73,98.57,809.12,23.74
2025,9,11,10,8.11,725.95,2.56,129.68,774.61,24.97
2025,9,11,11,8.29,779.1,2.34,127.52,803.1,25.88
2025,9,11,12,8.36,791.55,2.18,97.17,894.45,26.6
2025,9,11,13,8.37,723.38,2.03,99.1,845.97,27.02
2025,9,11,14,8.37,601.92,1.97,89.48,818.29,27.11
2025,9,11,15,8.32,435.45,1.94,81.01,741.87,26.92
2025,9,11,16,8.38,242.4,1.83,69.13,554.51,26.12
2025,9,11,17,9.4,59.45,1.45,33.77,186.91,23.99
2025,9,11,18,8.74,0,1.48,0,0,22.1
2025,9,11,19,8.79,0,1.27,0,0,21.37
2025,9,11,20,9.18,0,1.23,0,0,20.29
2025,9,11,21,9.51,0,1.48,0,0,18.93
2025,9,11,22,9.63,0,1.79,0,0,17.91
2025,9,11,23,9.64,0,1.97,0,0,17.25
